dr:D00096	atc:A06AG07
dr:D10248	atc:A06AG10
dr:D06618	atc:A06AH01
dr:D02878	atc:A06AH02
dr:D10479	atc:A06AH03
dr:D10375	atc:A06AH03
dr:D08249	atc:A06AH04
dr:D01340	atc:A06AH04
dr:D10188	atc:A06AH05
dr:D10478	atc:A06AH05
dr:D00028	atc:A06AX01
dr:D04790	atc:A06AX03
dr:D09355	atc:A06AX04
dr:D06612	atc:A06AX04
dr:D09205	atc:A06AX05
dr:D10152	atc:A06AX05
dr:D06056	atc:A06AX06
dr:D02730	atc:A06AX06
dr:D09948	atc:A06AX07
dr:D08260	atc:A07AA01
dr:D01618	atc:A07AA01
dr:D05141	atc:A07AA01
dr:D05142	atc:A07AA01
dr:D00202	atc:A07AA02
dr:D00884	atc:A07AA03
dr:D08531	atc:A07AA04
dr:D01350	atc:A07AA04
dr:D08401	atc:A07AA05
dr:D01066	atc:A07AA05
dr:D07467	atc:A07AA06
dr:D00868	atc:A07AA06
dr:D00203	atc:A07AA07
dr:D00866	atc:A07AA08
dr:D03262	atc:A07AA08
dr:D00212	atc:A07AA09
dr:D00926	atc:A07AA09
dr:D07746	atc:A07AA10
dr:D02049	atc:A07AA10
dr:D02138	atc:A07AA10
dr:D02554	atc:A07AA11
dr:D09394	atc:A07AA12
dr:D02549	atc:A07AA13
dr:D08480	atc:A07AA13
dr:D02440	atc:A07AB02
dr:D02437	atc:A07AB03
dr:D07060	atc:A07AB04
dr:D02447	atc:A07AB04
dr:D00416	atc:A07AC01
dr:D00882	atc:A07AC01
dr:D07109	atc:A07AX01
dr:D07110	atc:A07AX02
dr:D07111	atc:A07AX03
dr:D07251	atc:A07AX04
dr:D03251	atc:A07BA01
dr:D02316	atc:A07BC01
dr:D03244	atc:A07BC02
dr:D03609	atc:A07BC03
dr:D07584	atc:A07BC04
dr:D03045	atc:A07BC04
dr:D07861	atc:A07DA01
dr:D03860	atc:A07DA01
dr:D03444	atc:A07DA02
dr:D06499	atc:A07DA02
dr:D08144	atc:A07DA03
dr:D00729	atc:A07DA03
dr:D03809	atc:A07DA04
dr:D11583	atc:A07DA04
dr:D07113	atc:A07DA05
dr:D10403	atc:A07DA06
dr:D00472	atc:A07EA01
dr:D00980	atc:A07EA01
dr:D00981	atc:A07EA01
dr:D00982	atc:A07EA01
dr:D01239	atc:A07EA01
dr:D01998	atc:A07EA01
dr:D02156	atc:A07EA01
dr:D03301	atc:A07EA01
dr:D08412	atc:A07EA01
dr:D08413	atc:A07EA01
dr:D08414	atc:A07EA01
dr:D08415	atc:A07EA01
dr:D00088	atc:A07EA02
dr:D00165	atc:A07EA02
dr:D00976	atc:A07EA02
dr:D00977	atc:A07EA02
dr:D00978	atc:A07EA02
dr:D01442	atc:A07EA02
dr:D01619	atc:A07EA02
dr:D01886	atc:A07EA02
dr:D02288	atc:A07EA02
dr:D04467	atc:A07EA02
dr:D06876	atc:A07EA02
dr:D09796	atc:A07EA02
dr:D00473	atc:A07EA03
dr:D08416	atc:A07EA03
dr:D00244	atc:A07EA04
dr:D00972	atc:A07EA04
dr:D01357	atc:A07EA04
dr:D01402	atc:A07EA04
dr:D01637	atc:A07EA04
dr:D02032	atc:A07EA04
dr:D02286	atc:A07EA04
dr:D08610	atc:A07EA05
dr:D06171	atc:A07EA05
dr:D00246	atc:A07EA06
dr:D07495	atc:A07EA07
dr:D00689	atc:A07EA07
dr:D07753	atc:A07EB01
dr:D00526	atc:A07EB01
dr:D02589	atc:A07EB01
dr:D09790	atc:A07EB01
dr:D00448	atc:A07EC01
dr:D00377	atc:A07EC02
dr:D08295	atc:A07EC03
dr:D00727	atc:A07EC03
dr:D07488	atc:A07EC04
dr:D02715	atc:A07EC04
dr:D04345	atc:A07FA01
dr:D04352	atc:A07FA01
dr:D03339	atc:A07XA01
dr:D08464	atc:A07XA04
dr:D03605	atc:A07XA06
dr:D05458	atc:A08AA01
dr:D05459	atc:A08AA01
dr:D07945	atc:A08AA02
dr:D04148	atc:A08AA02
dr:D07444	atc:A08AA03
dr:D03801	atc:A08AA03
dr:D07805	atc:A08AA04
dr:D03713	atc:A08AA04
dr:D00367	atc:A08AA05
dr:D07114	atc:A08AA06
dr:D07627	atc:A08AA07
dr:D07628	atc:A08AA07
dr:D07115	atc:A08AA08
dr:D07891	atc:A08AA09
dr:D04893	atc:A08AA09
dr:D08513	atc:A08AA10
dr:D02571	atc:A08AA10
dr:D06613	atc:A08AA11
dr:D11566	atc:A08AA11
dr:D10751	atc:A08AA62
dr:D04028	atc:A08AB01
dr:D05731	atc:A08AX01
dr:D03329	atc:A09AA01
dr:D08705	atc:A09AA01
dr:D03333	atc:A09AA03
dr:D03348	atc:A09AA04
dr:D07539	atc:A09AB01
dr:D03103	atc:A09AB02
dr:D02057	atc:A09AB03
dr:D04390	atc:A09AB03
dr:D00037	atc:A09AB04
dr:D01222	atc:A09AB04
dr:D03230	atc:A10AB01
dr:D04548	atc:A10AB03
dr:D04477	atc:A10AB04
