ID_Stof,ATC_code
092a9f3d-5919-4d21-814d-3d1b2e3faca2,N02AJ07
a0a2a833-0ee6-4f7d-a86f-4325e3be9a56,N07BC02
e62fe614-239e-49c3-b3f8-3d845b21af4c,N02AA01
f99076c7-dfe4-47a5-b82b-ff926930aa24,J01XE01
a0dfe37f-1938-4c5e-ad6b-55353aad70a6,R05DA07
a95eaed9-b8bd-4196-89eb-a34a65523b9f,N02AB02
5b5aa433-03b0-48ac-8d9e-b38cb80eb06b,H02AB06
dc0e3396-6c71-4c27-a175-8e9a77bf0aa9,H02AB07
7dbd5597-b0de-4f09-853d-af9ca204fd5e,N03AA03
3e9bc7e1-b4ce-4f57-893a-ee0031f9c880,M04AB01
516fd34b-7dc7-4b90-818f-612647e51c13,J01EB02
e4441d22-9ae9-4b92-bb41-08d8de100dfd,J01AA07
2a7b1c71-b82a-482d-a378-c0b8ffe5fc4f,J04AK01
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03AC06
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03AA07
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03AA07
3b591d99-c9b7-4cad-83fd-1d913df25aae,J04AC01
bff4cf68-41d0-4aba-8cd2-6a81eb6ceb0e,A02AH
3fe607f5-586d-4f55-8020-5be10820c97e,A02AH
2d2dd6ca-3296-4286-9b0a-8ea782395972,B05XA
317d204d-0559-4aee-8044-07811293f503,V03AB23
2d2dd6ca-3296-4286-9b0a-8ea782395972,B05BB02
0c05e795-0d89-440e-a9c2-0a8bbc9319e0,B05BB02
d944099d-d061-4e4d-acfa-bb520af59e40,B05BB02
1cc48323-1505-4d60-b9bd-1a650965e5b7,H02AB01
8161d78a-8bb9-4887-a972-0c5f081acca4,J01CE02
61919981-e280-4443-ad75-f5f7b47db0ff,N06AA21
453f06ef-c42a-4861-a562-d1e4d9e6ef6f,C10AC02
05feae4d-b2e7-4377-b333-c031598bf543,J01CA08
c83ddc96-9baf-4619-be65-c8d4df888db3,J07BB02
4af9353a-f9a7-4010-9289-34dbc5a64358,N05CD05
bcb25f6f-d7a0-443c-9a53-eec2047bc53e,L01DB01
7ba511a4-89e1-4e96-a45d-5d8e36fe8731,J01EA01
6c5da26b-cc80-4176-84f9-f4565ffd0cbb,D01AC20
1cc48323-1505-4d60-b9bd-1a650965e5b7,D07XC01
9865fb9c-b625-4f15-aa47-3b9221655c32,D04AB01
90b7b030-d239-40c2-8361-b46ead9a629d,A01AB09
1cc48323-1505-4d60-b9bd-1a650965e5b7,D07BC01
8dc7e7ac-8c39-4e3e-8cdd-67b19d43bb34,A03FA03
ee5a080e-c395-464b-a1a6-b7eab3268ed6,B01AC07
41e83042-f815-4e1e-9ba2-47c6b181183c,B02AA02
988a6c2e-b77e-4e65-8da1-ba8f66cedf7e,N03AG01
19afb075-66eb-415c-93e2-1f1ad02181d9,N02AE01
1374fbb1-8846-49fe-a15f-eb77e61fadb0,P02CA01
5241251c-8ef8-4cbc-843c-8e899ef6a7cf,C03DA01
34d8e9c4-a54e-49a6-81d4-9f7536ce2435,N01BB53
ee19d0de-b160-41dd-8432-ae6d94f688e2,N06AA16
da341d9f-7921-43bb-8959-7759272144ff,R03DA04
429d2ab4-bc0f-4fe4-ad40-b2a16e874bc6,B01AA03
294d6811-f277-4f87-b8a6-2b14ea27cc73,C07AB02
b300aae7-7a56-47dd-aea0-3e3eaa02e988,A07EA02
d462ebc5-3011-424b-8ab1-d4191b938d08,N05BA12
c08702c6-29bc-4721-aac4-36b63328798b,M03CA01
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03AA09
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03AA09
