ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A11GA01,A,A11,A11G,A11GA,A11GA01
A11GB01,A,A11,A11G,A11GB,A11GB01
A11HA02,A,A11,A11H,A11HA,A11HA02
A11HA06,A,A11,A11H,A11HA,A11HA06
A11HA31,A,A11,A11H,A11HA,A11HA31
A12BA01,A,A12,A12B,A12BA,A12BA01
A12BA02,A,A12,A12B,A12BA,A12BA02
A12BA03,A,A12,A12B,A12BA,A12BA03
A12BA04,A,A12,A12B,A12BA,A12BA04
A12BA05,A,A12,A12B,A12BA,A12BA05
A12CA02,A,A12,A12C,A12CA,A12CA02
A12CB01,A,A12,A12C,A12CB,A12CB01
A12CB02,A,A12,A12C,A12CB,A12CB02
A12CC01,A,A12,A12C,A12CC,A12CC01
A12CC02,A,A12,A12C,A12CC,A12CC02
A12CC03,A,A12,A12C,A12CC,A12CC03
A12CC04,A,A12,A12C,A12CC,A12CC04
A12CC05,A,A12,A12C,A12CC,A12CC05
A12CC08,A,A12,A12C,A12CC,A12CC08
A12CC10,A,A12,A12C,A12CC,A12CC10
A12AA01,A,A12,A12A,A12AA,A12AA01
A12AA02,A,A12,A12A,A12AA,A12AA02
A12AA03,A,A12,A12A,A12AA,A12AA03
A12AA04,A,A12,A12A,A12AA,A12AA04
A12AA05,A,A12,A12A,A12AA,A12AA05
A12AA07,A,A12,A12A,A12AA,A12AA07
A12AA10,A,A12,A12A,A12AA,A12AA10
A12AA13,A,A12,A12A,A12AA,A12AA13
A14AB01,A,A14,A14A,A14AB,A14AB01
A14AB02,A,A14,A14A,A14AB,A14AB02
A14AB03,A,A14,A14A,A14AB,A14AB03
A14AA01,A,A14,A14A,A14AA,A14AA01
A14AA02,A,A14,A14A,A14AA,A14AA02
A14AA03,A,A14,A14A,A14AA,A14AA03
A14AA04,A,A14,A14A,A14AA,A14AA04
A14AA05,A,A14,A14A,A14AA,A14AA05
A14AA06,A,A14,A14A,A14AA,A14AA06
A14AA07,A,A14,A14A,A14AA,A14AA07
A14AA08,A,A14,A14A,A14AA,A14AA08
A14AA09,A,A14,A14A,A14AA,A14AA09
A16AB03,A,A16,A16A,A16AB,A16AB03
A16AB04,A,A16,A16A,A16AB,A16AB04
A16AX04,A,A16,A16A,A16AX,A16AX04
A16AX05,A,A16,A16A,A16AX,A16AX05
A16AX07,A,A16,A16A,A16AX,A16AX07
A16AX10,A,A16,A16A,A16AX,A16AX10
A16AX12,A,A16,A16A,A16AX,A16AX12
A16AA01,A,A16,A16A,A16AA,A16AA01
A16AA03,A,A16,A16A,A16AA,A16AA03
A16AA06,A,A16,A16A,A16AA,A16AA06
A16AA07,A,A16,A16A,A16AA,A16AA07
B01AB01,B,B01,B01A,B01AB,B01AB01
B01AB02,B,B01,B01A,B01AB,B01AB02
B01AB04,B,B01,B01A,B01AB,B01AB04
B01AB05,B,B01,B01A,B01AB,B01AB05
B01AB06,B,B01,B01A,B01AB,B01AB06
B01AB07,B,B01,B01A,B01AB,B01AB07
B01AB08,B,B01,B01A,B01AB,B01AB08
B01AB09,B,B01,B01A,B01AB,B01AB09
B01AB10,B,B01,B01A,B01AB,B01AB10
B01AB11,B,B01,B01A,B01AB,B01AB11
B01AB12,B,B01,B01A,B01AB,B01AB12
B01AC01,B,B01,B01A,B01AC,B01AC01
B01AC02,B,B01,B01A,B01AC,B01AC02
B01AC03,B,B01,B01A,B01AC,B01AC03
B01AC04,B,B01,B01A,B01AC,B01AC04
B01AC05,B,B01,B01A,B01AC,B01AC05
B01AC06,B,B01,B01A,B01AC,B01AC06
B01AC07,B,B01,B01A,B01AC,B01AC07
B01AC08,B,B01,B01A,B01AC,B01AC08
B01AC09,B,B01,B01A,B01AC,B01AC09
B01AC10,B,B01,B01A,B01AC,B01AC10
B01AC11,B,B01,B01A,B01AC,B01AC11
B01AC13,B,B01,B01A,B01AC,B01AC13
B01AC15,B,B01,B01A,B01AC,B01AC15
B01AC16,B,B01,B01A,B01AC,B01AC16
B01AC17,B,B01,B01A,B01AC,B01AC17
B01AC18,B,B01,B01A,B01AC,B01AC18
B01AC19,B,B01,B01A,B01AC,B01AC19
B01AC21,B,B01,B01A,B01AC,B01AC21
B01AC22,B,B01,B01A,B01AC,B01AC22
B01AC23,B,B01,B01A,B01AC,B01AC23
B01AC24,B,B01,B01A,B01AC,B01AC24
B01AC25,B,B01,B01A,B01AC,B01AC25
B01AC26,B,B01,B01A,B01AC,B01AC26
B01AC27,B,B01,B01A,B01AC,B01AC27
B01AC56,B,B01,B01A,B01AC,B01AC56
B01AD01,B,B01,B01A,B01AD,B01AD01
B01AD02,B,B01,B01A,B01AD,B01AD02
B01AD03,B,B01,B01A,B01AD,B01AD03
B01AD04,B,B01,B01A,B01AD,B01AD04
B01AD05,B,B01,B01A,B01AD,B01AD05
B01AD06,B,B01,B01A,B01AD,B01AD06
B01AD07,B,B01,B01A,B01AD,B01AD07
B01AD08,B,B01,B01A,B01AD,B01AD08
B01AD09,B,B01,B01A,B01AD,B01AD09
B01AD10,B,B01,B01A,B01AD,B01AD10
B01AD11,B,B01,B01A,B01AD,B01AD11
B01AD12,B,B01,B01A,B01AD,B01AD12
B01AE01,B,B01,B01A,B01AE,B01AE01
B01AE02,B,B01,B01A,B01AE,B01AE02
B01AE03,B,B01,B01A,B01AE,B01AE03
B01AE04,B,B01,B01A,B01AE,B01AE04
B01AE05,B,B01,B01A,B01AE,B01AE05
B01AE06,B,B01,B01A,B01AE,B01AE06
