ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A06AX01,A,A06,A06A,A06AX,A06AX01
A06AX03,A,A06,A06A,A06AX,A06AX03
A06AX04,A,A06,A06A,A06AX,A06AX04
A06AX05,A,A06,A06A,A06AX,A06AX05
A06AX06,A,A06,A06A,A06AX,A06AX06
A06AX07,A,A06,A06A,A06AX,A06AX07
A06AA01,A,A06,A06A,A06AA,A06AA01
A06AA51,A,A06,A06A,A06AA,A06AA51
A07AB02,A,A07,A07A,A07AB,A07AB02
A07AB03,A,A07,A07A,A07AB,A07AB03
A07AB04,A,A07,A07A,A07AB,A07AB04
A07AC01,A,A07,A07A,A07AC,A07AC01
A07BA01,A,A07,A07B,A07BA,A07BA01
A07BA51,A,A07,A07B,A07BA,A07BA51
A07BC02,A,A07,A07B,A07BC,A07BC02
A07BC05,A,A07,A07B,A07BC,A07BC05
A07DA01,A,A07,A07D,A07DA,A07DA01
A07DA02,A,A07,A07D,A07DA,A07DA02
A07DA03,A,A07,A07D,A07DA,A07DA03
A07DA04,A,A07,A07D,A07DA,A07DA04
A07DA06,A,A07,A07D,A07DA,A07DA06
A07DA52,A,A07,A07D,A07DA,A07DA52
A07DA53,A,A07,A07D,A07DA,A07DA53
A07EA01,A,A07,A07E,A07EA,A07EA01
A07EA02,A,A07,A07E,A07EA,A07EA02
A07EA03,A,A07,A07E,A07EA,A07EA03
A07EA04,A,A07,A07E,A07EA,A07EA04
A07EA05,A,A07,A07E,A07EA,A07EA05
A07EA06,A,A07,A07E,A07EA,A07EA06
A07EA07,A,A07,A07E,A07EA,A07EA07
A07EC01,A,A07,A07E,A07EC,A07EC01
A07EC02,A,A07,A07E,A07EC,A07EC02
A07EC03,A,A07,A07E,A07EC,A07EC03
A07EC04,A,A07,A07E,A07EC,A07EC04
A07AA01,A,A07,A07A,A07AA,A07AA01
A07AA02,A,A07,A07A,A07AA,A07AA02
A07AA04,A,A07,A07A,A07AA,A07AA04
A07AA05,A,A07,A07A,A07AA,A07AA05
A07AA06,A,A07,A07A,A07AA,A07AA06
A07AA07,A,A07,A07A,A07AA,A07AA07
A07AA08,A,A07,A07A,A07AA,A07AA08
A07AA09,A,A07,A07A,A07AA,A07AA09
A07AA10,A,A07,A07A,A07AA,A07AA10
A07AA11,A,A07,A07A,A07AA,A07AA11
A07AA12,A,A07,A07A,A07AA,A07AA12
A07AA51,A,A07,A07A,A07AA,A07AA51
A07AA54,A,A07,A07A,A07AA,A07AA54
A08AB01,A,A08,A08A,A08AB,A08AB01
A08AX01,A,A08,A08A,A08AX,A08AX01
A08AA01,A,A08,A08A,A08AA,A08AA01
A08AA02,A,A08,A08A,A08AA,A08AA02
A08AA03,A,A08,A08A,A08AA,A08AA03
A08AA04,A,A08,A08A,A08AA,A08AA04
A08AA05,A,A08,A08A,A08AA,A08AA05
A08AA09,A,A08,A08A,A08AA,A08AA09
A08AA10,A,A08,A08A,A08AA,A08AA10
A08AA11,A,A08,A08A,A08AA,A08AA11
A08AA56,A,A08,A08A,A08AA,A08AA56
A08AA62,A,A08,A08A,A08AA,A08AA62
A09AB01,A,A09,A09A,A09AB,A09AB01
A09AB02,A,A09,A09A,A09AB,A09AB02
A09AB04,A,A09,A09A,A09AB,A09AB04
A09AA02,A,A09,A09A,A09AA,A09AA02
A10AB01,A,A10,A10A,A10AB,A10AB01
A10AB02,A,A10,A10A,A10AB,A10AB02
A10AB03,A,A10,A10A,A10AB,A10AB03
A10AB04,A,A10,A10A,A10AB,A10AB04
A10AB05,A,A10,A10A,A10AB,A10AB05
A10AB06,A,A10,A10A,A10AB,A10AB06
A10AC01,A,A10,A10A,A10AC,A10AC01
A10AC02,A,A10,A10A,A10AC,A10AC02
A10AC03,A,A10,A10A,A10AC,A10AC03
A10AC04,A,A10,A10A,A10AC,A10AC04
A10AD01,A,A10,A10A,A10AD,A10AD01
A10AD02,A,A10,A10A,A10AD,A10AD02
A10AD03,A,A10,A10A,A10AD,A10AD03
A10AD04,A,A10,A10A,A10AD,A10AD04
A10AD05,A,A10,A10A,A10AD,A10AD05
A10AD06,A,A10,A10A,A10AD,A10AD06
A10AE01,A,A10,A10A,A10AE,A10AE01
A10AE02,A,A10,A10A,A10AE,A10AE02
A10AE03,A,A10,A10A,A10AE,A10AE03
A10AE04,A,A10,A10A,A10AE,A10AE04
A10AE05,A,A10,A10A,A10AE,A10AE05
A10AE06,A,A10,A10A,A10AE,A10AE06
A10AE54,A,A10,A10A,A10AE,A10AE54
A10AE56,A,A10,A10A,A10AE,A10AE56
A10AF01,A,A10,A10A,A10AF,A10AF01
A10BA01,A,A10,A10B,A10BA,A10BA01
A10BA02,A,A10,A10B,A10BA,A10BA02
A10BA03,A,A10,A10B,A10BA,A10BA03
A10BB01,A,A10,A10B,A10BB,A10BB01
A10BB02,A,A10,A10B,A10BB,A10BB02
A10BB03,A,A10,A10B,A10BB,A10BB03
A10BB04,A,A10,A10B,A10BB,A10BB04
A10BB05,A,A10,A10B,A10BB,A10BB05
A10BB06,A,A10,A10B,A10BB,A10BB06
A10BB07,A,A10,A10B,A10BB,A10BB07
A10BB08,A,A10,A10B,A10BB,A10BB08
A10BB09,A,A10,A10B,A10BB,A10BB09
A10BB10,A,A10,A10B,A10BB,A10BB10
A10BB11,A,A10,A10B,A10BB,A10BB11
A10BB12,A,A10,A10B,A10BB,A10BB12
A10BB31,A,A10,A10B,A10BB,A10BB31
A10BC01,A,A10,A10B,A10BC,A10BC01
A10BD01,A,A10,A10B,A10BD,A10BD01
A10BD02,A,A10,A10B,A10BD,A10BD02
A10BD03,A,A10,A10B,A10BD,A10BD03
A10BD04,A,A10,A10B,A10BD,A10BD04
A10BD05,A,A10,A10B,A10BD,A10BD05
A10BD06,A,A10,A10B,A10BD,A10BD06
A10BD07,A,A10,A10B,A10BD,A10BD07
A10BD08,A,A10,A10B,A10BD,A10BD08
A10BD09,A,A10,A10B,A10BD,A10BD09
A10BD10,A,A10,A10B,A10BD,A10BD10
A10BD11,A,A10,A10B,A10BD,A10BD11
A10BD12,A,A10,A10B,A10BD,A10BD12
A10BD13,A,A10,A10B,A10BD,A10BD13
A10BD14,A,A10,A10B,A10BD,A10BD14
A10BD15,A,A10,A10B,A10BD,A10BD15
A10BD16,A,A10,A10B,A10BD,A10BD16
A10BD17,A,A10,A10B,A10BD,A10BD17
A10BD18,A,A10,A10B,A10BD,A10BD18
A10BD19,A,A10,A10B,A10BD,A10BD19
A10BD20,A,A10,A10B,A10BD,A10BD20
A10BD21,A,A10,A10B,A10BD,A10BD21
A10BD22,A,A10,A10B,A10BD,A10BD22
A10BD23,A,A10,A10B,A10BD,A10BD23
A10BD24,A,A10,A10B,A10BD,A10BD24
A10BD25,A,A10,A10B,A10BD,A10BD25
A10BF01,A,A10,A10B,A10BF,A10BF01
A10BF02,A,A10,A10B,A10BF,A10BF02
A10BF03,A,A10,A10B,A10BF,A10BF03
A10BG01,A,A10,A10B,A10BG,A10BG01
A10BG02,A,A10,A10B,A10BG,A10BG02
A10BG03,A,A10,A10B,A10BG,A10BG03
A10BH01,A,A10,A10B,A10BH,A10BH01
A10BH02,A,A10,A10B,A10BH,A10BH02
A10BH03,A,A10,A10B,A10BH,A10BH03
A10BH04,A,A10,A10B,A10BH,A10BH04
A10BH05,A,A10,A10B,A10BH,A10BH05
A10BH06,A,A10,A10B,A10BH,A10BH06
A10BH07,A,A10,A10B,A10BH,A10BH07
A10BH51,A,A10,A10B,A10BH,A10BH51
A10BH52,A,A10,A10B,A10BH,A10BH52
A10BJ01,A,A10,A10B,A10BJ,A10BJ01
A10BJ02,A,A10,A10B,A10BJ,A10BJ02
A10BJ03,A,A10,A10B,A10BJ,A10BJ03
A10BJ04,A,A10,A10B,A10BJ,A10BJ04
A10BJ05,A,A10,A10B,A10BJ,A10BJ05
A10BJ06,A,A10,A10B,A10BJ,A10BJ06
A10BK01,A,A10,A10B,A10BK,A10BK01
A10BK02,A,A10,A10B,A10BK,A10BK02
A10BK03,A,A10,A10B,A10BK,A10BK03
A10BK04,A,A10,A10B,A10BK,A10BK04
A10BK05,A,A10,A10B,A10BK,A10BK05
A10BX01,A,A10,A10B,A10BX,A10BX01
A10BX02,A,A10,A10B,A10BX,A10BX02
A10BX03,A,A10,A10B,A10BX,A10BX03
A10BX05,A,A10,A10B,A10BX,A10BX05
A10BX06,A,A10,A10B,A10BX,A10BX06
A10BX08,A,A10,A10B,A10BX,A10BX08
A11CA01,A,A11,A11C,A11CA,A11CA01
A11CA02,A,A11,A11C,A11CA,A11CA02
A11CC01,A,A11,A11C,A11CC,A11CC01
A11CC02,A,A11,A11C,A11CC,A11CC02
A11CC03,A,A11,A11C,A11CC,A11CC03
A11CC04,A,A11,A11C,A11CC,A11CC04
A11CC05,A,A11,A11C,A11CC,A11CC05
A11CC06,A,A11,A11C,A11CC,A11CC06
A11CC55,A,A11,A11C,A11CC,A11CC55
A11DA01,A,A11,A11D,A11DA,A11DA01
A11GA01,A,A11,A11G,A11GA,A11GA01
A11GB01,A,A11,A11G,A11GB,A11GB01
A11HA01,A,A11,A11H,A11HA,A11HA01
A11HA02,A,A11,A11H,A11HA,A11HA02
A11HA03,A,A11,A11H,A11HA,A11HA03
A11HA04,A,A11,A11H,A11HA,A11HA04
A11HA07,A,A11,A11H,A11HA,A11HA07
A11HA08,A,A11,A11H,A11HA,A11HA08
A11HA30,A,A11,A11H,A11HA,A11HA30
A11HA31,A,A11,A11H,A11HA,A11HA31
A11AA01,A,A11,A11A,A11AA,A11AA01
A11AA02,A,A11,A11A,A11AA,A11AA02
A12BA01,A,A12,A12B,A12BA,A12BA01
A12BA02,A,A12,A12B,A12BA,A12BA02
A12BA04,A,A12,A12B,A12BA,A12BA04
A12BA05,A,A12,A12B,A12BA,A12BA05
A12BA51,A,A12,A12B,A12BA,A12BA51
A12CA01,A,A12,A12C,A12CA,A12CA01
A12CA02,A,A12,A12C,A12CA,A12CA02
A12CB01,A,A12,A12C,A12CB,A12CB01
A12CB02,A,A12,A12C,A12CB,A12CB02
A12CC01,A,A12,A12C,A12CC,A12CC01
A12CC02,A,A12,A12C,A12CC,A12CC02
A12CC03,A,A12,A12C,A12CC,A12CC03
A12CC04,A,A12,A12C,A12CC,A12CC04
A12CC05,A,A12,A12C,A12CC,A12CC05
A12CC06,A,A12,A12C,A12CC,A12CC06
A12CC07,A,A12,A12C,A12CC,A12CC07
A12CC09,A,A12,A12C,A12CC,A12CC09
A12CC10,A,A12,A12C,A12CC,A12CC10
A12CD01,A,A12,A12C,A12CD,A12CD01
A12CD02,A,A12,A12C,A12CD,A12CD02
A12CE01,A,A12,A12C,A12CE,A12CE01
A12CE02,A,A12,A12C,A12CE,A12CE02
A12AA01,A,A12,A12A,A12AA,A12AA01
A12AA02,A,A12,A12A,A12AA,A12AA02
A12AA03,A,A12,A12A,A12AA,A12AA03
A12AA04,A,A12,A12A,A12AA,A12AA04
A12AA05,A,A12,A12A,A12AA,A12AA05
A12AA06,A,A12,A12A,A12AA,A12AA06
A12AA07,A,A12,A12A,A12AA,A12AA07
A12AA10,A,A12,A12A,A12AA,A12AA10
A12AA11,A,A12,A12A,A12AA,A12AA11
A12AA13,A,A12,A12A,A12AA,A12AA13
A12AA30,A,A12,A12A,A12AA,A12AA30
A14AB01,A,A14,A14A,A14AB,A14AB01
A14AB03,A,A14,A14A,A14AB,A14AB03
A14AA01,A,A14,A14A,A14AA,A14AA01
A14AA02,A,A14,A14A,A14AA,A14AA02
A14AA04,A,A14,A14A,A14AA,A14AA04
A14AA05,A,A14,A14A,A14AA,A14AA05
A14AA07,A,A14,A14A,A14AA,A14AA07
A14AA08,A,A14,A14A,A14AA,A14AA08
A16AB03,A,A16,A16A,A16AB,A16AB03
A16AB04,A,A16,A16A,A16AB,A16AB04
A16AB13,A,A16,A16A,A16AB,A16AB13
A16AB17,A,A16,A16A,A16AB,A16AB17
A16AX01,A,A16,A16A,A16AX,A16AX01
A16AX03,A,A16,A16A,A16AX,A16AX03
A16AX05,A,A16,A16A,A16AX,A16AX05
A16AX07,A,A16,A16A,A16AX,A16AX07
A16AX08,A,A16,A16A,A16AX,A16AX08
A16AX09,A,A16,A16A,A16AX,A16AX09
A16AX10,A,A16,A16A,A16AX,A16AX10
A16AX11,A,A16,A16A,A16AX,A16AX11
A16AX12,A,A16,A16A,A16AX,A16AX12
A16AX14,A,A16,A16A,A16AX,A16AX14
A16AA01,A,A16,A16A,A16AA,A16AA01
A16AA02,A,A16,A16A,A16AA,A16AA02
A16AA03,A,A16,A16A,A16AA,A16AA03
A16AA04,A,A16,A16A,A16AA,A16AA04
A16AA06,A,A16,A16A,A16AA,A16AA06
A16AA07,A,A16,A16A,A16AA,A16AA07
B01AB01,B,B01,B01A,B01AB,B01AB01
B01AB02,B,B01,B01A,B01AB,B01AB02
B01AB04,B,B01,B01A,B01AB,B01AB04
B01AB05,B,B01,B01A,B01AB,B01AB05
B01AB06,B,B01,B01A,B01AB,B01AB06
B01AB07,B,B01,B01A,B01AB,B01AB07
B01AB08,B,B01,B01A,B01AB,B01AB08
B01AB09,B,B01,B01A,B01AB,B01AB09
B01AB10,B,B01,B01A,B01AB,B01AB10
B01AB11,B,B01,B01A,B01AB,B01AB11
B01AB12,B,B01,B01A,B01AB,B01AB12
B01AB51,B,B01,B01A,B01AB,B01AB51
B01AC01,B,B01,B01A,B01AC,B01AC01
B01AC02,B,B01,B01A,B01AC,B01AC02
B01AC03,B,B01,B01A,B01AC,B01AC03
B01AC04,B,B01,B01A,B01AC,B01AC04
B01AC05,B,B01,B01A,B01AC,B01AC05
B01AC06,B,B01,B01A,B01AC,B01AC06
B01AC07,B,B01,B01A,B01AC,B01AC07
B01AC08,B,B01,B01A,B01AC,B01AC08
B01AC09,B,B01,B01A,B01AC,B01AC09
B01AC10,B,B01,B01A,B01AC,B01AC10
B01AC11,B,B01,B01A,B01AC,B01AC11
B01AC13,B,B01,B01A,B01AC,B01AC13
