ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
C03DA01,C,C03,C03D,C03DA,C03DA01
C03DB01,C,C03,C03D,C03DB,C03DB01
C03EA01,C,C03,C03E,C03EA,C03EA01
C03EA12,C,C03,C03E,C03EA,C03EA12
C03EA13,C,C03,C03E,C03EA,C03EA13
C03EB01,C,C03,C03E,C03EB,C03EB01
C03AA01,C,C03,C03A,C03AA,C03AA01
C03AA03,C,C03,C03A,C03AA,C03AA03
C05AD01,C,C05,C05A,C05AD,C05AD01
C05AE02,C,C05,C05A,C05AE,C05AE02
C05AE03,C,C05,C05A,C05AE,C05AE03
C05BA03,C,C05,C05B,C05BA,C05BA03
C05BA53,C,C05,C05B,C05BA,C05BA53
C05AA01,C,C05,C05A,C05AA,C05AA01
C05AA04,C,C05,C05A,C05AA,C05AA04
C05AA05,C,C05,C05A,C05AA,C05AA05
C05AA09,C,C05,C05A,C05AA,C05AA09
C05AA12,C,C05,C05A,C05AA,C05AA12
C07AB02,C,C07,C07A,C07AB,C07AB02
C07AB03,C,C07,C07A,C07AB,C07AB03
C07AB07,C,C07,C07A,C07AB,C07AB07
C07AB12,C,C07,C07A,C07AB,C07AB12
C07AG01,C,C07,C07A,C07AG,C07AG01
C07AG02,C,C07,C07A,C07AG,C07AG02
C07BA02,C,C07,C07B,C07BA,C07BA02
C07BA05,C,C07,C07B,C07BA,C07BA05
C07BA06,C,C07,C07B,C07BA,C07BA06
C07BA07,C,C07,C07B,C07BA,C07BA07
C07BB02,C,C07,C07B,C07BB,C07BB02
C07BB03,C,C07,C07B,C07BB,C07BB03
C07BB07,C,C07,C07B,C07BB,C07BB07
C07BB12,C,C07,C07B,C07BB,C07BB12
C07BB52,C,C07,C07B,C07BB,C07BB52
C07BG01,C,C07,C07B,C07BG,C07BG01
C07CA02,C,C07,C07C,C07CA,C07CA02
C07CA03,C,C07,C07C,C07CA,C07CA03
C07CB02,C,C07,C07C,C07CB,C07CB02
C07CB03,C,C07,C07C,C07CB,C07CB03
C07CB53,C,C07,C07C,C07CB,C07CB53
C07CG01,C,C07,C07C,C07CG,C07CG01
C07DA06,C,C07,C07D,C07DA,C07DA06
C07DB01,C,C07,C07D,C07DB,C07DB01
C07FB02,C,C07,C07F,C07FB,C07FB02
C07FB03,C,C07,C07F,C07FB,C07FB03
C07FB07,C,C07,C07F,C07FB,C07FB07
C07FB12,C,C07,C07F,C07FB,C07FB12
C07FB13,C,C07,C07F,C07FB,C07FB13
