ID_Niveau2,ID_Niveau3,ID_Dokumentationsgrad,ID_KliniskBetydning,ID_Rekommandation,Tekst,Rekommandationstekst,ID_Stof1,ID_Stof2
619ad0a3-f8ed-4d77-acc0-f1419bf5af51,e9b52fc4-463a-4a14-a8dc-00b033480096,b48e6db7-5677-466a-8cd9-d6e22e14ad62,1376daa2-f6fe-4e7a-8014-3d20d20f1598,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),0acd18e5-305e-40ad-9804-3d6adef15db5,644e7a90-370d-4294-a2b6-6ebafa1afd78
c2af63b6-c7c7-40bb-8b29-d1157c6ca622,b65e0c37-48c1-490d-947b-00bb42858c7c,dd95e393-e0b4-451f-a3f0-cb16d78efe8a,481e8088-5b09-40d6-811b-1f4d7997a547,bc9cf340-f84b-4481-8412-62b1f193a7a7,list(NULL),list(NULL),9b5745cd-430b-4821-b46e-379cfa8ab865,ec5f6e8c-402e-4d33-aca5-1a98bdd43c48
641483c0-3103-4c30-b02b-42d12c8a224e,74b985bd-3b6b-4fcd-be28-00c2ce47efaa,eb736cfc-dabc-4c1d-ac47-adad8e2925ea,93982a2f-f01c-4e7c-8c17-4cd9a899edc6,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),a13a6d26-b311-4d22-b003-c21fe40ed4ce,c5d6a0ee-4daf-41aa-a563-864321a13a4f
f43cd7d6-1210-49d6-a131-47e4c5a6348c,9cbf05bd-ca78-42bb-8de5-00c43667426c,b48e6db7-5677-466a-8cd9-d6e22e14ad62,a4cd5cc6-1e1b-4a0d-8387-8b545b6b8f0a,2a228812-dbc7-4142-be51-867544b62ba8,list(NULL),list(NULL),94f631ce-76e2-47d6-b0fe-f16b2a394f1c,787cc134-0e07-42d9-94f4-0ccc5012e6d9
3941480d-8c51-4df5-83f5-48356a66017c,5264a281-d402-43fa-9363-00fac1ec2e50,eb736cfc-dabc-4c1d-ac47-adad8e2925ea,93982a2f-f01c-4e7c-8c17-4cd9a899edc6,2a228812-dbc7-4142-be51-867544b62ba8,list(NULL),list(NULL),64c413f5-6f9a-4872-a352-bf90a7add35a,fb1edde0-4a8f-4351-a94a-776cf0c39b84
a19086e0-a02c-4ca4-a55c-12d63ef51212,e46ccc4a-18f6-493f-a9f4-010ee9049a1e,d140beab-7347-497f-bffb-72a01293e761,1376daa2-f6fe-4e7a-8014-3d20d20f1598,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),9c4244fb-af6d-4956-b129-8790afea7f06,6a0314e1-6deb-49cb-8a12-41be348ac1df
24f8d051-4c29-4484-9c60-dc2cf8e9613e,bb0515b4-3190-4ba6-a2a9-012ea466a8de,b48e6db7-5677-466a-8cd9-d6e22e14ad62,3d464ee6-31c4-4054-a9f6-c65e56ae4cfd,2a228812-dbc7-4142-be51-867544b62ba8,list(NULL),list(NULL),623b1411-9803-41a6-95cb-889ec288d9c8,1a5316ef-d00e-4ad9-9d7b-5d51958c1ebd
412cba26-d36f-43b0-8607-64ebc9be950b,c3c6e9ea-2ba7-4b4b-a051-013104e0634b,b48e6db7-5677-466a-8cd9-d6e22e14ad62,1376daa2-f6fe-4e7a-8014-3d20d20f1598,7faad3aa-ba26-4565-b1e2-fc2d8c723ff8,list(NULL),list(NULL),513cfff6-59b2-41e5-9510-d0c6db0ea5c3,ec5f6e8c-402e-4d33-aca5-1a98bdd43c48
81581640-f8fa-44c2-8675-e5698a4ddbc0,e6eb262d-b4bc-4f82-baa0-0137b856c0fd,b48e6db7-5677-466a-8cd9-d6e22e14ad62,3d464ee6-31c4-4054-a9f6-c65e56ae4cfd,bc9cf340-f84b-4481-8412-62b1f193a7a7,list(NULL),list(NULL),878ea0aa-7ba8-4b17-a51c-fe46402bc261,9ae80fd7-021b-401a-be8f-c300a5dceb3e
2230fdec-4f37-46f3-8028-14a5f149a52f,9a32b491-1797-493d-9e61-01446a126503,d140beab-7347-497f-bffb-72a01293e761,a4cd5cc6-1e1b-4a0d-8387-8b545b6b8f0a,6d21864f-ed3e-46ad-85d5-bdfad11595c9,list(NULL),list(NULL),124a8e64-4b28-40fc-ae99-0a5e9a57148b,e88e13ef-12d1-4102-bb0b-6c542eaa9dbc
