drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
G02BB01,C07BB12,dokumenteret,ingen,7,G,C,C07BB12_G02BB01
N02BE51,C09DA08,dokumenteret,ingen,7,N,C,C09DA08_N02BE51
L04AD02,S01AE07,dokumenteret,ingen,7,L,S,L04AD02_S01AE07
L04AD02,J01MA14,dokumenteret,ingen,7,L,J,J01MA14_L04AD02
N02BE51,C09DA01,dokumenteret,ingen,7,N,C,C09DA01_N02BE51
N02BE51,C09DA03,dokumenteret,ingen,7,N,C,C09DA03_N02BE51
N02BE51,C09DX01,dokumenteret,ingen,7,N,C,C09DX01_N02BE51
D11AX18,S01ED51,begrænset dokumenteret,ingen,7,D,S,D11AX18_S01ED51
N02BE51,C09BA02,dokumenteret,ingen,7,N,C,C09BA02_N02BE51
L01XX41,J04AB02,dokumenteret,ingen,7,L,J,J04AB02_L01XX41
A10BJ03,C01AA05,dokumenteret,ingen,7,A,C,A10BJ03_C01AA05
G03FB06,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03FB06
G03FB06,C07FX05,dokumenteret,ingen,7,G,C,C07FX05_G03FB06
B05BA10,J04AM06,dokumenteret,ingen,7,B,J,B05BA10_J04AM06
N02BE51,C03EA01,dokumenteret,ingen,7,N,C,C03EA01_N02BE51
N02BE51,C09BA03,dokumenteret,ingen,7,N,C,C09BA03_N02BE51
N02BE51,C09BA05,dokumenteret,ingen,7,N,C,C09BA05_N02BE51
G03FA14,A10BX02,dokumenteret,ingen,7,G,A,A10BX02_G03FA14
J05AR08,G02BB01,dokumenteret,ingen,7,J,G,G02BB01_J05AR08
A10BD21,C10BA04,dokumenteret,ingen,7,A,C,A10BD21_C10BA04
J05AR08,G03FA14,dokumenteret,ingen,7,J,G,G03FA14_J05AR08
G03AA10,C09DA06,dokumenteret,ingen,7,G,C,C09DA06_G03AA10
G03AA10,C09DA01,dokumenteret,ingen,7,G,C,C09DA01_G03AA10
N07BC01,J05AE10,dokumenteret,ingen,7,N,J,J05AE10_N07BC01
N07BC01,J05AR14,dokumenteret,ingen,7,N,J,J05AR14_N07BC01
G03AA13,A10BX02,dokumenteret,ingen,7,G,A,A10BX02_G03AA13
G03AD01,A10BX02,dokumenteret,ingen,7,G,A,A10BX02_G03AD01
J05AR06,G03FB05,dokumenteret,ingen,7,J,G,G03FB05_J05AR06
G03AA10,C03AA03,dokumenteret,ingen,7,G,C,C03AA03_G03AA10
G03AA10,A10BX02,dokumenteret,ingen,7,G,A,A10BX02_G03AA10
G03AA14,A10BX02,dokumenteret,ingen,7,G,A,A10BX02_G03AA14
J05AG03,S01BA04,dokumenteret,ingen,7,J,S,J05AG03_S01BA04
J05AG03,H02AB06,dokumenteret,ingen,7,J,H,H02AB06_J05AG03
J05AR08,G03AA07,dokumenteret,ingen,7,J,G,G03AA07_J05AR08
G03AA10,C09BA05,dokumenteret,ingen,7,G,C,C09BA05_G03AA10
G03AA12,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03AA12
G03AA12,C07FX05,dokumenteret,ingen,7,G,C,C07FX05_G03AA12
G03FB05,C07AB02,dokumenteret,ingen,7,G,C,C07AB02_G03FB05
G03FB05,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03FB05
G03FB05,C09DA06,dokumenteret,ingen,7,G,C,C09DA06_G03FB05
G03AA11,A10BX02,dokumenteret,ingen,7,G,A,A10BX02_G03AA11
G03FB05,C09DA03,dokumenteret,ingen,7,G,C,C09DA03_G03FB05
A10BD15,C01AA05,dokumenteret,ingen,7,A,C,A10BD15_C01AA05
J05AR08,C01AA05,dokumenteret,ingen,7,J,C,C01AA05_J05AR08
G03FA14,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03FA14
J05AR24,N07BC02,dokumenteret,ingen,7,J,N,J05AR24_N07BC02
J05AR17,G03CA04,dokumenteret,ingen,7,J,G,G03CA04_J05AR17
G03FB05,C09DA07,dokumenteret,ingen,7,G,C,C09DA07_G03FB05
G03FB05,C09BA01,dokumenteret,ingen,7,G,C,C09BA01_G03FB05
G03FB05,C09DX03,dokumenteret,ingen,7,G,C,C09DX03_G03FB05
S01BC03,C09DA08,dokumenteret,ingen,7,S,C,C09DA08_S01BC03
D01AC08,S01BA04,dokumenteret,ingen,7,D,S,D01AC08_S01BA04
D01AC08,H02AB06,dokumenteret,ingen,7,D,H,D01AC08_H02AB06
J05AR06,S01BA04,dokumenteret,ingen,7,J,S,J05AR06_S01BA04
J02AC01,B05DB,dokumenteret,ingen,7,J,B,B05DB_J02AC01
G03AB05,C07AB02,dokumenteret,ingen,7,G,C,C07AB02_G03AB05
G03AB05,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03AB05
G03AB05,C07FX05,dokumenteret,ingen,7,G,C,C07FX05_G03AB05
A10BD16,C09DA01,dokumenteret,ingen,7,A,C,A10BD16_C09DA01
J02AB02,S01BA04,dokumenteret,ingen,7,J,S,J02AB02_S01BA04
G03HB01,N06AX26,dokumenteret,ingen,7,G,N,G03HB01_N06AX26
G03FA14,A10BD10,dokumenteret,ingen,7,G,A,A10BD10_G03FA14
A10BD16,C09BA02,dokumenteret,ingen,7,A,C,A10BD16_C09BA02
A10BD16,C09XA52,dokumenteret,ingen,7,A,C,A10BD16_C09XA52
A10BB01,C07AB02,dokumenteret,ingen,7,A,C,A10BB01_C07AB02
A10BB01,C07BB02,dokumenteret,ingen,7,A,C,A10BB01_C07BB02
G03DB08,A10BJ03,dokumenteret,ingen,7,G,A,A10BJ03_G03DB08
A10BD16,C09DX03,dokumenteret,ingen,7,A,C,A10BD16_C09DX03
A10BD15,J04AM02,dokumenteret,ingen,7,A,J,A10BD15_J04AM02
A10BD16,C09BA03,dokumenteret,ingen,7,A,C,A10BD16_C09BA03
A10BD16,C09BA05,dokumenteret,ingen,7,A,C,A10BD16_C09BA05
G03AC09,C01BD07,dokumenteret,ingen,7,G,C,C01BD07_G03AC09
G03AA14,N06AX26,dokumenteret,ingen,7,G,N,G03AA14_N06AX26
G03AC09,C09DA08,dokumenteret,ingen,7,G,C,C09DA08_G03AC09
N05AE05,G03FB06,dokumenteret,ingen,7,N,G,G03FB06_N05AE05
G03AA09,A10BJ03,dokumenteret,ingen,7,G,A,A10BJ03_G03AA09
G03AD01,J05AR06,dokumenteret,ingen,7,G,J,G03AD01_J05AR06
G03FA12,A10BD10,dokumenteret,ingen,7,G,A,A10BD10_G03FA12
G03AA14,C01BD07,dokumenteret,ingen,7,G,C,C01BD07_G03AA14
N02AJ07,A02AB04,dokumenteret,ingen,7,N,A,A02AB04_N02AJ07
N02AJ07,A02BX13,dokumenteret,ingen,7,N,A,A02BX13_N02AJ07
N02AJ07,J07CA02,dokumenteret,ingen,7,N,J,J07CA02_N02AJ07
N02AJ07,A02AD01,dokumenteret,ingen,7,N,A,A02AD01_N02AJ07
G03AA09,J05AR09,dokumenteret,ingen,7,G,J,G03AA09_J05AR09
G03AC09,C09BA01,dokumenteret,ingen,7,G,C,C09BA01_G03AC09
G03AC09,C09DX03,dokumenteret,ingen,7,G,C,C09DX03_G03AC09
J05AG01,J05AE09,dokumenteret,ingen,7,J,J,J05AE09_J05AG01
G03AC09,C03EA01,dokumenteret,ingen,7,G,C,C03EA01_G03AC09
G03AC09,C09BA05,dokumenteret,ingen,7,G,C,C09BA05_G03AC09
L01XA03,A12AA06,dokumenteret,ingen,7,L,A,A12AA06_L01XA03
G03AC09,C07BB12,dokumenteret,ingen,7,G,C,C07BB12_G03AC09
J05AG03,J05AE09,dokumenteret,ingen,7,J,J,J05AE09_J05AG03
B01AA03,C07BB02,dokumenteret,ingen,7,B,C,B01AA03_C07BB02
G03FB06,C09DA06,dokumenteret,ingen,7,G,C,C09DA06_G03FB06
G03CA03,C07AB02,dokumenteret,ingen,7,G,C,C07AB02_G03CA03
G03CA03,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03CA03
G03CA03,C07FX05,dokumenteret,ingen,7,G,C,C07FX05_G03CA03
G03FB06,C09DX01,dokumenteret,ingen,7,G,C,C09DX01_G03FB06
L02AB02,J05AR08,dokumenteret,ingen,7,L,J,J05AR08_L02AB02
G03FB06,C09BA02,dokumenteret,ingen,7,G,C,C09BA02_G03FB06
G03FB08,A10BJ03,dokumenteret,ingen,7,G,A,A10BJ03_G03FB08
G03FB06,C09DA07,dokumenteret,ingen,7,G,C,C09DA07_G03FB06
A02BC05,J02AC04,dokumenteret,ingen,7,A,J,A02BC05_J02AC04
N02BA51,A02AD01,dokumenteret,ingen,7,N,A,A02AD01_N02BA51
A10BD16,C07BB12,dokumenteret,ingen,7,A,C,A10BD16_C07BB12
G03AD01,C09DA08,dokumenteret,ingen,7,G,C,C09DA08_G03AD01
C09DB02,C07BB12,veldokumenteret,ingen,7,C,C,C07BB12_C09DB02
G03FB06,C09DA04,dokumenteret,ingen,7,G,C,C09DA04_G03FB06
J05AR19,G03AB05,dokumenteret,ingen,7,J,G,G03AB05_J05AR19
G03CA04,A02BC03,dokumenteret,ingen,7,G,A,A02BC03_G03CA04
J05AR19,G03CA04,dokumenteret,ingen,7,J,G,G03CA04_J05AR19
G03AD01,C07BB07,dokumenteret,ingen,7,G,C,C07BB07_G03AD01
G03AA16,N03AX23,dokumenteret,ingen,7,G,N,G03AA16_N03AX23
G02BB01,N03AX23,dokumenteret,ingen,7,G,N,G02BB01_N03AX23
N05AE05,N05AN01,dokumenteret,ingen,7,N,N,N05AE05_N05AN01
G03AA11,N03AX23,dokumenteret,ingen,7,G,N,G03AA11_N03AX23
S01AE03,J04AM02,veldokumenteret,ingen,7,S,J,J04AM02_S01AE03
G03FB06,N03AX23,dokumenteret,ingen,7,G,N,G03FB06_N03AX23
B01AC06,B05BB01,dokumenteret,ingen,7,B,B,B01AC06_B05BB01
G03DB08,N03AX23,dokumenteret,ingen,7,G,N,G03DB08_N03AX23
A10BD07,C09BA01,dokumenteret,ingen,7,A,C,A10BD07_C09BA01
A10BD07,C09DX03,dokumenteret,ingen,7,A,C,A10BD07_C09DX03
N05AE04,N05AN01,dokumenteret,ingen,7,N,N,N05AE04_N05AN01
L01XE01,N02AJ07,dokumenteret,ingen,7,L,N,L01XE01_N02AJ07
G03AA10,N03AX23,dokumenteret,ingen,7,G,N,G03AA10_N03AX23
G03FB05,N03AX23,dokumenteret,ingen,7,G,N,G03FB05_N03AX23
A10BD07,C07BB12,dokumenteret,ingen,7,A,C,A10BD07_C07BB12
G03AA14,N03AX23,dokumenteret,ingen,7,G,N,G03AA14_N03AX23
B03XA02,B03AA02,dokumenteret,ingen,7,B,B,B03XA02_B03AA02
B03XA02,V03AE05,dokumenteret,ingen,7,B,V,B03XA02_V03AE05
B03XA02,B03AA07,dokumenteret,ingen,7,B,B,B03XA02_B03AA07
G03FB05,N03AX23,dokumenteret,ingen,7,G,N,G03FB05_N03AX23
L01XE01,B05BB01,dokumenteret,ingen,7,L,B,B05BB01_L01XE01
G03FA12,L04AA10,dokumenteret,ingen,7,G,L,G03FA12_L04AA10
G03AC08,N03AX23,dokumenteret,ingen,7,G,N,G03AC08_N03AX23
G03AB08,N03AX23,dokumenteret,ingen,7,G,N,G03AB08_N03AX23
G03HB01,N03AX23,dokumenteret,ingen,7,G,N,G03HB01_N03AX23
G03AC09,N03AX23,dokumenteret,ingen,7,G,N,G03AC09_N03AX23
B05D,M01AE02,begrænset dokumenteret,ingen,7,B,M,B05D_M01AE02
A10BD15,C09DX03,dokumenteret,ingen,7,A,C,A10BD15_C09DX03
A10BD15,C03EA01,dokumenteret,ingen,7,A,C,A10BD15_C03EA01
C09DX03,C09DA07,veldokumenteret,ingen,7,C,C,C09DA07_C09DX03
G03AB05,N03AX23,dokumenteret,ingen,7,G,N,G03AB05_N03AX23
A10BD15,C09DA04,dokumenteret,ingen,7,A,C,A10BD15_C09DA04
G03DA02,N03AX23,dokumenteret,ingen,7,G,N,G03DA02_N03AX23
G03FB08,N03AX23,dokumenteret,ingen,7,G,N,G03FB08_N03AX23
G02BA03,N03AX23,dokumenteret,ingen,7,G,N,G02BA03_N03AX23
L02AB02,A10BD16,veldokumenteret,ingen,7,L,A,A10BD16_L02AB02
A10BD10,C09BA02,dokumenteret,ingen,7,A,C,A10BD10_C09BA02
L02AB02,A10BK02,veldokumenteret,ingen,7,L,A,A10BK02_L02AB02
B05XC,B03AB10,dokumenteret,ingen,7,B,B,B03AB10_B05XC
B05XC,B03AA01,dokumenteret,ingen,7,B,B,B03AA01_B05XC
L01BC05,L01BA04,dokumenteret,ingen,7,L,L,L01BA04_L01BC05
G03FA12,N03AX23,dokumenteret,ingen,7,G,N,G03FA12_N03AX23
G03FA01,N03AX23,dokumenteret,ingen,7,G,N,G03FA01_N03AX23
J02AC02,S01BA04,dokumenteret,ingen,7,J,S,J02AC02_S01BA04
J02AC02,H02AB06,dokumenteret,ingen,7,J,H,H02AB06_J02AC02
J05AR19,G03AA07,dokumenteret,ingen,7,J,G,G03AA07_J05AR19
A10BJ05,C10AA05,dokumenteret,ingen,7,A,C,A10BJ05_C10AA05
A10BJ05,C10BA05,dokumenteret,ingen,7,A,C,A10BJ05_C10BA05
J05AR19,G03FA12,dokumenteret,ingen,7,J,G,G03FA12_J05AR19
A10BD24,C10BA05,dokumenteret,ingen,7,A,C,A10BD24_C10BA05
B05AA06,J04AB02,dokumenteret,ingen,7,B,J,B05AA06_J04AB02
A10BD08,C09DA08,dokumenteret,ingen,7,A,C,A10BD08_C09DA08
A10BD08,C07BB02,dokumenteret,ingen,7,A,C,A10BD08_C07BB02
A10BD08,C09DA06,dokumenteret,ingen,7,A,C,A10BD08_C09DA06
C08DA01,A02BC04,dokumenteret,ingen,7,C,A,A02BC04_C08DA01
J05AR21,C10BA05,dokumenteret,ingen,7,J,C,C10BA05_J05AR21
A10BD08,C09DX01,dokumenteret,ingen,7,A,C,A10BD08_C09DX01
J05AR20,G03CA04,dokumenteret,ingen,7,J,G,G03CA04_J05AR20
A10BD08,C09BA02,dokumenteret,ingen,7,A,C,A10BD08_C09BA02
A10BD08,C09XA52,dokumenteret,ingen,7,A,C,A10BD08_C09XA52
A10BD08,C03AA03,dokumenteret,ingen,7,A,C,A10BD08_C03AA03
B05BB02,J04AM02,dokumenteret,ingen,7,B,J,B05BB02_J04AM02
A10BD08,C09BA01,dokumenteret,ingen,7,A,C,A10BD08_C09BA01
A10BD08,C09DX03,dokumenteret,ingen,7,A,C,A10BD08_C09DX03
A10BD08,C03EA01,dokumenteret,ingen,7,A,C,A10BD08_C03EA01
J05AR20,G03AA12,dokumenteret,ingen,7,J,G,G03AA12_J05AR20
A02BC05,G03XB02,dokumenteret,ingen,7,A,G,A02BC05_G03XB02
J05AR20,G03AA07,dokumenteret,ingen,7,J,G,G03AA07_J05AR20
A10BD08,C07BB12,dokumenteret,ingen,7,A,C,A10BD08_C07BB12
G03AA14,C09DA08,dokumenteret,ingen,7,G,C,C09DA08_G03AA14
G03AA14,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03AA14
N05AE04,G03FB06,dokumenteret,ingen,7,N,G,G03FB06_N05AE04
A10BK02,N02AJ06,dokumenteret,ingen,7,A,N,A10BK02_N02AJ06
G03AA14,C09DA03,dokumenteret,ingen,7,G,C,C09DA03_G03AA14
G03AA14,C09DX01,dokumenteret,ingen,7,G,C,C09DX01_G03AA14
C01AA05,C10AA03,dokumenteret,ingen,7,C,C,C01AA05_C10AA03
G03AA14,C09BA02,dokumenteret,ingen,7,G,C,C09BA02_G03AA14
G03AA13,C09DA04,dokumenteret,ingen,7,G,C,C09DA04_G03AA13
J05AG04,G03CA03,dokumenteret,ingen,7,J,G,G03CA03_J05AG04
G03AA14,C09DA07,dokumenteret,ingen,7,G,C,C09DA07_G03AA14
G03AA14,C09BA01,dokumenteret,ingen,7,G,C,C09BA01_G03AA14
J04AM06,B05BA10,begrænset dokumenteret,ingen,7,J,B,B05BA10_J04AM06
M01AE51,C07BB12,dokumenteret,ingen,7,M,C,C07BB12_M01AE51
J05AR06,G03AA16,veldokumenteret,ingen,7,J,G,G03AA16_J05AR06
G03AA14,C09BA05,dokumenteret,ingen,7,G,C,C09BA05_G03AA14
G03AA14,C09DA04,dokumenteret,ingen,7,G,C,C09DA04_G03AA14
G03AA14,C07BB12,dokumenteret,ingen,7,G,C,C07BB12_G03AA14
A10BK01,J04AM06,dokumenteret,ingen,7,A,J,A10BK01_J04AM06
G03AB03,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03AB03
G03AB03,C09DA06,dokumenteret,ingen,7,G,C,C09DA06_G03AB03
G03AB03,C09DA01,dokumenteret,ingen,7,G,C,C09DA01_G03AB03
J05AR18,J05AG03,dokumenteret,ingen,7,J,J,J05AG03_J05AR18
G03AC06,J05AR22,dokumenteret,ingen,7,G,J,G03AC06_J05AR22
G03AB03,C07BB07,dokumenteret,ingen,7,G,C,C07BB07_G03AB03
B05AA07,J04AM02,dokumenteret,ingen,7,B,J,B05AA07_J04AM02
N02BA75,J05AH02,dokumenteret,ingen,7,N,J,J05AH02_N02BA75
J05AF09,G03FB06,dokumenteret,ingen,7,J,G,G03FB06_J05AF09
C09DB01,G03AA13,dokumenteret,ingen,7,C,G,C09DB01_G03AA13
A02BX13,J05AH02,dokumenteret,ingen,7,A,J,A02BX13_J05AH02
G03AB03,C09DX03,dokumenteret,ingen,7,G,C,C09DX03_G03AB03
N02AJ07,C10AA05,dokumenteret,ingen,7,N,C,C10AA05_N02AJ07
G03AB03,C09BA03,dokumenteret,ingen,7,G,C,C09BA03_G03AB03
G03AB03,C09BA05,dokumenteret,ingen,7,G,C,C09BA05_G03AB03
G03AB03,C09DA04,dokumenteret,ingen,7,G,C,C09DA04_G03AB03
G03AB03,C07BB12,dokumenteret,ingen,7,G,C,C07BB12_G03AB03
V03AE04,J05AH02,dokumenteret,ingen,7,V,J,J05AH02_V03AE04
J07CA02,J05AH02,dokumenteret,ingen,7,J,J,J05AH02_J07CA02
J05AR17,G02BB01,dokumenteret,ingen,7,J,G,G02BB01_J05AR17
A10BD10,J04AM06,dokumenteret,ingen,7,A,J,A10BD10_J04AM06
N06AB04,N05AH02,begrænset dokumenteret,ingen,7,N,N,N05AH02_N06AB04
B05D,J05AH02,dokumenteret,ingen,7,B,J,B05D_J05AH02
J01AA02,G03AA14,dokumenteret,ingen,7,J,G,G03AA14_J01AA02
N02AJ06,C09BA01,dokumenteret,ingen,7,N,C,C09BA01_N02AJ06
N02AJ06,C09DX03,dokumenteret,ingen,7,N,C,C09DX03_N02AJ06
B05BB02,J05AH02,dokumenteret,ingen,7,B,J,B05BB02_J05AH02
B05AA07,J05AH02,dokumenteret,ingen,7,B,J,B05AA07_J05AH02
N02AJ06,C09BA05,dokumenteret,ingen,7,N,C,C09BA05_N02AJ06
J05AG03,G03FB05,veldokumenteret,ingen,7,J,G,G03FB05_J05AG03
A10BK02,G03AA12,veldokumenteret,ingen,7,A,G,A10BK02_G03AA12
A10BB01,C10AA03,dokumenteret,ingen,7,A,C,A10BB01_C10AA03
A02AD01,J05AH02,dokumenteret,ingen,7,A,J,A02AD01_J05AH02
G03FA12,N05CD02,dokumenteret,ingen,7,G,N,G03FA12_N05CD02
J05AG03,G03CA04,veldokumenteret,ingen,7,J,G,G03CA04_J05AG03
N02AJ13,J05AH02,dokumenteret,ingen,7,N,J,J05AH02_N02AJ13
C10AC01,C10BA03,dokumenteret,ingen,7,C,C,C10AC01_C10BA03
G03AC06,N05CD02,dokumenteret,ingen,7,G,N,G03AC06_N05CD02
B01AA03,C10BA05,dokumenteret,ingen,7,B,C,B01AA03_C10BA05
J01AA02,B05XA31,dokumenteret,ingen,7,J,B,B05XA31_J01AA02
J01AA02,B05BA10,dokumenteret,ingen,7,J,B,B05BA10_J01AA02
A10BG03,A10BD21,veldokumenteret,ingen,7,A,A,A10BD21_A10BG03
G03AC09,N05CD02,dokumenteret,ingen,7,G,N,G03AC09_N05CD02
G03FA14,C09DX03,dokumenteret,ingen,7,G,C,C09DX03_G03FA14
G03AB03,N05CD02,dokumenteret,ingen,7,G,N,G03AB03_N05CD02
J01AA02,D05AA,dokumenteret,ingen,7,J,D,D05AA_J01AA02
G03DB08,A02BC01,dokumenteret,ingen,7,G,A,A02BC01_G03DB08
L01XX19,A02BC01,dokumenteret,ingen,7,L,A,A02BC01_L01XX19
G03AA10,A02BC01,dokumenteret,ingen,7,G,A,A02BC01_G03AA10
G03AA11,C09DA08,dokumenteret,ingen,7,G,C,C09DA08_G03AA11
N03AE01,N06AB06,dokumenteret,ingen,7,N,N,N03AE01_N06AB06
C09DX01,A10BH02,dokumenteret,ingen,7,C,A,A10BH02_C09DX01
G03FB08,A02BC01,dokumenteret,ingen,7,G,A,A02BC01_G03FB08
A10BD16,N02BE51,dokumenteret,ingen,7,A,N,A10BD16_N02BE51
G03DA02,N03AG04,dokumenteret,ingen,7,G,N,G03DA02_N03AG04
L01XE05,A02BC01,dokumenteret,ingen,7,L,A,A02BC01_L01XE05
G02BB01,N05CD02,dokumenteret,ingen,7,G,N,G02BB01_N05CD02
G03AA11,N03AG04,dokumenteret,ingen,7,G,N,G03AA11_N03AG04
G03FA14,N03AG04,dokumenteret,ingen,7,G,N,G03FA14_N03AG04
G03FB08,N03AG04,dokumenteret,ingen,7,G,N,G03FB08_N03AG04
C05AA08,A02BC01,dokumenteret,ingen,7,C,A,A02BC01_C05AA08
J05AR24,G03AB05,dokumenteret,ingen,7,J,G,G03AB05_J05AR24
A10BB07,C10AA04,dokumenteret,ingen,7,A,C,A10BB07_C10AA04
G03AB03,N03AG04,dokumenteret,ingen,7,G,N,G03AB03_N03AG04
J05AG05,G03FB08,dokumenteret,ingen,7,J,G,G03FB08_J05AG05
G03FB05,N03AG04,dokumenteret,ingen,7,G,N,G03FB05_N03AG04
G03AC08,N03AG04,dokumenteret,ingen,7,G,N,G03AC08_N03AG04
C07BB02,V03AE02,dokumenteret,ingen,7,C,V,C07BB02_V03AE02
G03AA07,A02BC01,dokumenteret,ingen,7,G,A,A02BC01_G03AA07
J05AP08,J05AR18,begrænset dokumenteret,ingen,7,J,J,J05AP08_J05AR18
G02AD06,G03AA11,dokumenteret,ingen,7,G,G,G02AD06_G03AA11
G03FB06,C09DA08,dokumenteret,ingen,7,G,C,C09DA08_G03FB06
G03FB06,C07BB02,dokumenteret,ingen,7,G,C,C07BB02_G03FB06
G03FA12,N03AG04,dokumenteret,ingen,7,G,N,G03FA12_N03AG04
G03AA14,N03AG04,dokumenteret,ingen,7,G,N,G03AA14_N03AG04
G03FB06,C09DA03,dokumenteret,ingen,7,G,C,C09DA03_G03FB06
G03FB06,C09DX01,dokumenteret,ingen,7,G,C,C09DX01_G03FB06
G03FB06,C07BB07,dokumenteret,ingen,7,G,C,C07BB07_G03FB06
G02BA03,N03AG04,dokumenteret,ingen,7,G,N,G02BA03_N03AG04
G03FB06,C09XA52,dokumenteret,ingen,7,G,C,C09XA52_G03FB06
G03FB06,C03AA03,dokumenteret,ingen,7,G,C,C03AA03_G03FB06
N05CF01,C10AB04,dokumenteret,ingen,7,N,C,C10AB04_N05CF01
G03FB06,C09BA01,dokumenteret,ingen,7,G,C,C09BA01_G03FB06
N02AJ13,S02CA06,dokumenteret,ingen,7,N,S,N02AJ13_S02CA06
J05AR25,J05AF11,dokumenteret,ingen,7,J,J,J05AF11_J05AR25
N02AJ13,S02AA15,dokumenteret,ingen,7,N,S,N02AJ13_S02AA15
J01AA07,G03FA01,dokumenteret,ingen,7,J,G,G03FA01_J01AA07
J05AR09,G03FB06,dokumenteret,ingen,7,J,G,G03FB06_J05AR09
G03AC06,N02CC01,dokumenteret,ingen,7,G,N,G03AC06_N02CC01
A10BD05,A10BD21,veldokumenteret,ingen,7,A,A,A10BD05_A10BD21
J05AR08,G03FA01,dokumenteret,ingen,7,J,G,G03FA01_J05AR08
C08CA01,C09DA06,dokumenteret,ingen,7,C,C,C08CA01_C09DA06
C08CA01,C09DA01,dokumenteret,ingen,7,C,C,C08CA01_C09DA01
C08CA01,C09DA03,dokumenteret,ingen,7,C,C,C08CA01_C09DA03
M01AE02,A02BC01,dokumenteret,ingen,7,M,A,A02BC01_M01AE02
G03AA16,A02BC01,dokumenteret,ingen,7,G,A,A02BC01_G03AA16
A10BD09,A10BD25,veldokumenteret,ingen,7,A,A,A10BD09_A10BD25
J05AF09,J05AP51,dokumenteret,ingen,7,J,J,J05AF09_J05AP51
C08CA01,C03AA03,dokumenteret,ingen,7,C,C,C03AA03_C08CA01
C08CA01,C09DA07,dokumenteret,ingen,7,C,C,C08CA01_C09DA07
J05AP56,J05AR08,begrænset dokumenteret,ingen,7,J,J,J05AP56_J05AR08
J02AC05,G03AB03,dokumenteret,ingen,7,J,G,G03AB03_J02AC05
C08CA01,C03EA01,dokumenteret,ingen,7,C,C,C03EA01_C08CA01
J05AP51,G03FA01,begrænset dokumenteret,ingen,7,J,G,G03FA01_J05AP51
A10BD11,C07BB02,dokumenteret,ingen,7,A,C,A10BD11_C07BB02
C09DB01,C09DA08,veldokumenteret,ingen,7,C,C,C09DA08_C09DB01
C08CA01,C07BB12,dokumenteret,ingen,7,C,C,C07BB12_C08CA01
C09DB01,C09DA06,veldokumenteret,ingen,7,C,C,C09DA06_C09DB01
C09DB01,C09DA01,veldokumenteret,ingen,7,C,C,C09DA01_C09DB01
G03FA12,G04CA53,dokumenteret,ingen,7,G,G,G03FA12_G04CA53
A10BD13,C09DA01,dokumenteret,ingen,7,A,C,A10BD13_C09DA01
C09DB01,C07BB07,veldokumenteret,ingen,7,C,C,C07BB07_C09DB01
A10BD20,N03AF04,dokumenteret,ingen,7,A,N,A10BD20_N03AF04
N05AX13,N06AB05,dokumenteret,ingen,7,N,N,N05AX13_N06AB05
C09DB01,C03AA03,veldokumenteret,ingen,7,C,C,C03AA03_C09DB01
J05AR03,J04AB02,dokumenteret,ingen,7,J,J,J04AB02_J05AR03
J05AR03,J04AM06,dokumenteret,ingen,7,J,J,J04AM06_J05AR03
J05AR03,J04AM02,dokumenteret,ingen,7,J,J,J04AM02_J05AR03
A10BD11,C09BA05,dokumenteret,ingen,7,A,C,A10BD11_C09BA05
G03AA14,A02BC01,dokumenteret,ingen,7,G,A,A02BC01_G03AA14
A10BD13,C03EA01,dokumenteret,ingen,7,A,C,A10BD13_C03EA01
C09DB01,C09DA04,veldokumenteret,ingen,7,C,C,C09DA04_C09DB01
C09DB01,C07BB12,veldokumenteret,ingen,7,C,C,C07BB12_C09DB01
R03AL03,R03AK10,dokumenteret,ingen,7,R,R,R03AK10_R03AL03
A10BD13,C07BB12,dokumenteret,ingen,7,A,C,A10BD13_C07BB12
M04AA03,C09DA08,dokumenteret,ingen,7,M,C,C09DA08_M04AA03
M04AA03,C07BB02,dokumenteret,ingen,7,M,C,C07BB02_M04AA03
M04AA03,C09DA06,dokumenteret,ingen,7,M,C,C09DA06_M04AA03
A02BX13,J04AC01,begrænset dokumenteret,ingen,7,A,J,A02BX13_J04AC01
G03AA13,C09XA52,dokumenteret,ingen,7,G,C,C09XA52_G03AA13
B01AA03,N03AF02,dokumenteret,ingen,7,B,N,B01AA03_N03AF02
J04AC01,A02AA04,begrænset dokumenteret,ingen,7,J,A,A02AA04_J04AC01
M04AA03,C09BA02,dokumenteret,ingen,7,M,C,C09BA02_M04AA03
M04AA03,C09XA52,dokumenteret,ingen,7,M,C,C09XA52_M04AA03
N05BA09,A02BC01,dokumenteret,ingen,7,N,A,A02BC01_N05BA09
G03AC01,G04CA53,dokumenteret,ingen,7,G,G,G03AC01_G04CA53
C09DX01,G03FB05,dokumenteret,ingen,7,C,G,C09DX01_G03FB05
J05AP55,J05AG05,begrænset dokumenteret,ingen,7,J,J,J05AG05_J05AP55
