drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
G03AA11,N03AF04,dokumenteret,moderat,1,G,N,G03AA11_N03AF04
G03AB03,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03AB03_J05AR14
G03FA12,J05AP09,dokumenteret,udtalt,1,G,J,G03FA12_J05AP09
G03CA04,N06AX25,veldokumenteret,moderat,1,G,N,G03CA04_N06AX25
G03AA14,N03AA02,begrænset dokumenteret,moderat,1,G,N,G03AA14_N03AA02
J05AF13,N03AF01,dokumenteret,udtalt,1,J,N,J05AF13_N03AF01
G03AA12,N03AF01,veldokumenteret,moderat,1,G,N,G03AA12_N03AF01
G03FA12,N03AF01,veldokumenteret,moderat,1,G,N,G03FA12_N03AF01
A02BC01,J05AE04,dokumenteret,udtalt,1,A,J,A02BC01_J05AE04
G03AA07,J05AR10,veldokumenteret,mulig,1,G,J,G03AA07_J05AR10
N06AX22,S02CA06,ringe dokumenteret,udtalt,1,N,S,N06AX22_S02CA06
G03AB08,N03AF04,dokumenteret,mulig,1,G,N,G03AB08_N03AF04
L01XE01,C10AA01,dokumenteret,udtalt,1,L,C,C10AA01_L01XE01
J05AR09,G04CA01,ringe dokumenteret,mulig,1,J,G,G04CA01_J05AR09
G03AA11,N03AA02,begrænset dokumenteret,moderat,1,G,N,G03AA11_N03AA02
V03AX03,N05CD05,ringe dokumenteret,mulig,1,V,N,N05CD05_V03AX03
B01AF02,D01AC08,dokumenteret,udtalt,1,B,D,B01AF02_D01AC08
L04AD01,B01AC24,dokumenteret,udtalt,1,L,B,B01AC24_L04AD01
J01FA09,C10BA02,dokumenteret,udtalt,1,J,C,C10BA02_J01FA09
G03CA03,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03CA03_J05AR14
J05AR08,J04AM06,dokumenteret,udtalt,1,J,J,J04AM06_J05AR08
G03AA13,N03AX11,dokumenteret,moderat,1,G,N,G03AA13_N03AX11
N06AB03,N06AA10,dokumenteret,udtalt,1,N,N,N06AB03_N06AA10
L01XE01,N06AX25,begrænset dokumenteret,mulig,1,L,N,L01XE01_N06AX25
N06AA04,N06AF01,ringe dokumenteret,moderat,1,N,N,N06AF01_N06AA04
G03FA12,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03FA12_J05AE10
J05AR22,C10AA01,ringe dokumenteret,uafklaret,1,J,C,C10AA01_J05AR22
L01XE11,L01XE07,dokumenteret,uafklaret,1,L,L,L01XE07_L01XE11
G03AA10,J05AP09,dokumenteret,udtalt,1,G,J,G03AA10_J05AP09
