,NDFRT,CUI
395,"N0000146517
","
C0796396
"
396,"N0000145991
","
C0065885
"
397,"N0000148453
","
C0063757
"
398,"N0000147413
","
C0304999
"
399,"N0000145965
","
C0304987
"
400,"N0000146916
","
C0012341
"
401,"N0000147805
","
C0012004
"
402,"N0000147878
","
C0022038
"
403,"N0000146581
","
C0022005
"
404,"N0000146122
","
C0022026
"
405,"N0000148411
","
C0063817
"
406,"N0000148454
","
C0063828
"
407,"N0000147920
","
C0025810
"
408,"N0000147935
","
C0027324
"
409,"N0000148057
","
C0043031
"
410,"N0000147079
","
C0000618
"
411,"N0000147087
","
C0002555
"
412,"N0000147996
","
C0033429
"
413,"N0000148573
","
C0246689
"
414,"N0000148766
","
C0440280
"
415,"N0000147069
","
C0004482
"
416,"N0000147091
","
C0025876
"
417,"N0000148603
","
C0717550
"
418,"N0000148645
","
C0287041
"
419,"N0000148357
","
C0772342
"
420,"N0000148350
","
C0073393
"
421,"N0000147807
","
C0012093
"
422,"N0000148602
","
C0066677
"
423,"N0000148400
","
C2350089
"
424,"N0000148418
","
C0209738
"
425,"N0000147697
","
C0002403
"
426,"N0000148726
","
C0252643
"
427,"N0000148775
","
C1170746
"
428,"N0000148624
","
C0072980
"
429,"N0000148372
","
C0085149
"
430,"N0000148767
","
C0393080
"
431,"N0000148586
","
C0063041
"
432,"N0000148611
","
C0762662
"
433,"N0000147829
","
C0013089
"
434,"N0000146407
","
C0040879
"
435,"N0000146241
","
C0040374
"
436,"N0000146187
","
C0040372
"
437,"N0000148425
","
C0061323
"
438,"N0000148055
","
C0042670
"
439,"N0000148056
","
C0042679
"
440,"N0000148389
","
C0377401
"
441,"N0000147316
","
C0013136
"
442,"N0000148700
","
C0937846
"
443,"N0000148471
","
C0077768
"
444,"N0000147026
","
C0717537
"
445,"N0000148515
","
C0771774
"
446,"N0000148821
","
C0965129
"
447,"N0000148786
","
C0299792
"
448,"N0000148694
","
C0537894
"
449,"N0000147660
","
C0071304
"
450,"N0000148245
","
C0082607
"
451,"N0000148783
","
C1170741
"
452,"N0000147347
","
C0008806
"
453,"N0000148785
","
C1142985
"
454,"N0000146464
","
C0029995
"
455,"N0000023019
","
C0377336
"
456,"N0000148629
","
C0165921
"
457,"N0000148782
","
C0961485
"
458,"N0000146778
","
C0007248
"
459,"N0000147049
","
C0015846
"
460,"N0000145915
","
C0029112
"
461,"N0000147952
","
C0029309
"
462,"N0000147955
","
C0030049
"
463,"N0000147956
","
C0030073
"
464,"N0000147967
","
C0030873
"
465,"N0000148460
","
C0771827
"
466,"N0000148768
","
C0037537
"
467,"N0000148809
","
C1176306
"
468,"N0000148709
","
C0914729
"
469,"N0000148791
","
C0759933
"
470,"N0000148838
","
C0453273
"
471,"N0000147627
","
C0001443
"
472,"N0000146149
","
C0008290
"
473,"N0000148841
","
C1337242
"
474,"N0000147923
","
C0025853
"
475,"N0000145882
","
C0038675
"
476,"N0000148789
","
C1122087
"
477,"N0000148814
","
C0051150
"
478,"N0000146094
","
C0008161
"
479,"N0000147823
","
C1692318
"
480,"N0000022429
","
C0301499
"
481,"N0000022699
","
C0060279
"
482,"N0000146518
","
C0305003
"
483,"N0000148626
","
C0875947
"
484,"N0000146596
","
C0051510
"
485,"N0000146031
","
C0006675
"
486,"N0000148269
","
C0108938
"
487,"N0000147760
","
C0007562
"
488,"N0000145788
","
C0725584
"
489,"N0000146452
","
C0010583
"
490,"N0000148522
","
C0065818
"
491,"N0000148533
","
C0288171
"
492,"N0000148732
","
C1120952
"
493,"N0000146937
","
C0030092
"
494,"N0000148031
","
C0039943
"
495,"N0000146250
","
C0000981
"
496,"N0000148640
","
C0291772
"
497,"N0000148681
","
C0052416
"
498,"N0000145829
","
C0052416
"
499,"N0000148441
","
C0246415
"
500,"N0000148872
","
C1135135
"
501,"N0000023088
","
C1436328
"
502,"N0000147893
","
C0023992
"
503,"N0000147900
","
C0025153
"
504,"N0000146717
","
C0028066
"
505,"N0000146646
","
C0981841
"
506,"N0000023085
","
C0529351
"
507,"N0000147932
","
C0079856
"
508,"N0000148820
","
C0971579
"
509,"N0000023010
","
C0885298
"
510,"N0000148759
","
C1178580
"
511,"N0000148799
","
C0772283
"
512,"N0000148757
","
C0025219
"
513,"N0000148734
","
C0754647
"
514,"N0000171743
","
C0073633
"
515,"N0000023111
","
C0041165
"
516,"N0000147248
","
C0974124
"
517,"N0000148455
","
C0052585
"
518,"N0000147076
","
C0006463
"
519,"N0000148698
","
C0935989
"
520,"N0000147775
","
C0008947
"
521,"N0000148024
","
C0039286
"
522,"N0000146257
","
C0025631
"
523,"N0000146364
","
C0029997
"
524,"N0000148810
","
C1122962
"
525,"N0000148306
","
C0065180
"
526,"N0000145894
","
C0009214
"
527,"N0000148333
","
C0051696
"
528,"N0000146136
","
C0031862
"
529,"N0000146038
","
C0024467
"
530,"N0000147141
","
C0102840
"
531,"N0000147380
","
C0051522
"
532,"N0000176043
","
C1455147
"
